"","No.Of.Policies","Monthly.Premium.Auto","Income","Monthly.Since.Last.Claims","Total.Claims.Amount","Months.Since.Policy.Inception","Response","Gender","No.Of.Open.Complaints","Customer.Lifetime.Value"
"878",9,114,60423,23,137.611531,44,"No","F",0,9152.489511
"879",5,71,27166,29,340.8,51,"No","M",0,5406.876611
"880",1,61,62006,31,292.8,96,"No","F",0,2472.253893
"881",3,72,24976,2,566.199335,60,"No","M",1,5493.02213
"882",1,82,0,0,590.4,28,"No","F",0,2960.029328
"883",1,63,25905,21,302.4,12,"Yes","M",0,2300.691547
"884",2,89,33806,32,395.729716,59,"Yes","F",0,26199.5401416
"885",3,85,44213,15,77.523904,58,"No","F",0,6753.428413
"886",1,71,76356,4,340.8,61,"No","F",2,2862.563059
"887",3,90,59789,9,527.539078,81,"No","M",0,7143.035873
"888",9,111,24550,12,536.00374,6,"No","F",0,8798.312515
"889",1,71,0,8,244.587596,59,"No","M",1,2444.741307
"890",1,68,63401,1,202.938048,18,"No","F",0,2730.3538
"891",2,101,41692,21,245.968629,15,"No","M",1,11320.82704
"892",2,70,0,13,336,18,"No","M",0,7919.832069
"893",1,66,78618,7,225.578841,56,"Yes","M",0,2619.337376
"894",2,65,76590,0,183.293091,91,"No","F",0,7887.964945
"895",2,72,76214,7,202.81373,48,"No","M",0,8676.698631
"896",3,83,25876,29,398.4,46,"No","F",0,6568.75877
"897",8,240,64929,13,1261.672708,11,"No","M",3,18704.85055
"898",8,63,0,9,453.6,88,"No","M",0,4224.832303
"899",1,99,37384,9,475.2,17,"Yes","F",0,4014.453113
"900",2,66,0,16,316.8,77,"Yes","F",0,7200.664877
"901",2,68,95241,3,87.803087,12,"No","F",1,8170.621997
"902",5,109,13870,1,550.430985,78,"No","F",0,8478.30421
"903",2,76,25964,21,364.8,87,"No","M",2,8646.547993
"904",2,62,84302,19,76.609295,63,"No","M",0,7425.845305
"905",5,77,39482,29,277.907701,48,"No","M",0,6006.441801
"906",1,65,71868,6,312,61,"No","M",0,2545.070274
"907",1,99,93284,7,475.2,26,"No","F",0,4013.959621
"908",1,66,0,9,475.2,10,"No","F",1,2300.334605
"909",2,118,25708,21,566.4,44,"No","M",0,13780.48818
"910",1,95,33738,13,541.755353,97,"No","M",0,3702.63121
"911",3,87,0,3,94.714302,82,"No","F",0,6331.338496
"912",5,70,39507,32,283.743206,17,"No","F",0,5607.253592
"913",1,73,65099,8,350.4,19,"No","M",2,2853.370449
"914",6,64,97131,5,307.2,80,"Yes","F",0,5181.620895
"915",1,61,82225,24,292.8,27,"No","M",0,2446.664534
"916",7,112,36645,21,614.082146,50,"No","F",0,8717.851882
"917",7,63,75090,10,101.34165,67,"No","F",1,4993.025273
"918",3,117,75909,23,561.6,77,"No","M",0,9343.198788
"919",2,64,18884,21,307.2,90,"No","F",0,7296.535053
"920",2,74,0,1,807.279979,52,"No","F",1,7627.026893
"921",3,69,46971,26,120.109061,21,"No","M",0,5522.769962
"922",2,90,0,33,432,75,"No","M",0,10153.88899
"923",1,63,25905,21,302.4,12,"Yes","M",0,2300.691547
"924",1,68,53021,28,326.4,71,"No","M",4,2599.04158
"925",2,63,49530,8,278.24204,64,"No","M",0,7524.88292
"926",6,133,0,23,1443.455106,32,"No","F",0,9460.17545
"927",2,105,71644,19,504,83,"No","F",0,26199.5401416
"928",9,73,22814,16,360.773462,59,"No","F",0,5749.883799
"929",8,74,51066,23,787.993313,0,"Yes","M",0,5780.182197
"930",5,61,37929,21,120.436587,35,"No","M",0,4682.249396
"931",1,77,65083,30,369.6,68,"No","M",0,3059.282091
"932",4,109,0,25,523.2,93,"No","F",0,8181.715637
"933",1,62,36631,30,67.530904,77,"Yes","M",0,2491.317024
"934",1,136,40308,4,652.8,69,"No","F",0,5396.372449
"935",1,64,76731,2,201.455005,68,"Yes","F",0,2582.408525
"936",2,65,0,9,312,31,"Yes","M",0,21423.63723
"937",1,108,0,2,1099.233361,18,"No","F",0,3876.772694
"938",3,118,0,20,1380.107186,19,"No","F",0,8708.018769
"939",1,74,24049,34,491.446146,80,"No","M",0,2907.363467
"940",7,61,37998,26,292.8,27,"No","F",0,4881.299084
"941",1,95,0,22,456,80,"No","F",0,3652.666261
"942",2,65,94303,16,149.688222,9,"No","M",0,7908.452072
"943",6,63,78735,32,225.558918,53,"No","M",1,5064.127663
"944",2,114,50494,19,491.322893,15,"No","F",0,26199.5401416
"945",3,110,86721,20,372.594847,99,"No","F",1,8828.933996
"946",1,67,62452,1,407.776546,9,"No","M",0,2671.817549
"947",2,72,0,15,518.4,45,"No","F",0,8098.96921
"948",2,238,0,19,1142.4,29,"No","F",0,26199.5401416
"949",2,88,22601,1,633.6,41,"No","F",0,10394.36269
"950",6,67,25134,3,321.6,0,"Yes","F",0,5318.89664
"951",1,82,25820,10,393.6,69,"Yes","F",0,3265.156348
"952",1,67,29152,24,255.079807,72,"No","M",0,2446.911045
"953",1,114,0,19,1182.289213,77,"No","F",0,4196.689511
"954",1,61,0,16,439.2,46,"No","F",0,2167.330201
"955",1,97,66676,0,558.099357,40,"Yes","F",0,3919.366722
"956",9,73,88359,1,35.915639,49,"No","F",0,5823.162917
"957",2,101,20228,3,523.815839,43,"Yes","M",1,10408.96865
"958",1,92,60804,16,213.225001,50,"No","M",0,3679.142115
"959",2,82,78374,17,206.95076,84,"No","M",0,16331.43396
"960",2,116,59207,23,556.8,21,"Yes","F",0,13770.97618
"961",8,116,0,7,820.018767,23,"No","F",0,8083.541953
"962",1,64,69446,23,26.731452,32,"No","F",1,2570.190941
"963",1,114,81883,15,376.002146,40,"No","F",0,4654.582368
"964",7,197,35822,25,1404.868905,79,"No","M",0,15394.8718
"965",3,137,13207,16,392.920864,82,"No","M",2,9939.255085
"966",2,82,0,9,393.6,58,"No","F",0,14962.37103
"967",3,107,31756,1,415.850776,97,"No","M",0,8417.102804
"968",1,126,0,15,907.2,45,"No","M",0,4229.923123
"969",6,63,66933,8,160.52105,0,"No","F",0,5074.246068
"970",2,73,72897,26,507.709291,96,"No","M",0,8793.521303
"971",1,112,23124,27,537.6,59,"No","F",0,4372.490855
"972",1,72,53071,28,386.225897,19,"No","F",0,2839.796453
"973",7,89,61233,27,181.287697,50,"No","F",2,7124.202899
"974",8,129,0,13,628.366119,19,"No","F",0,9435.540893
"975",1,111,80640,2,313.270725,84,"No","M",0,4408.071476
"976",1,74,0,17,663.423782,59,"No","M",0,2562.843896
"977",7,101,12195,29,670.581817,35,"No","F",0,7452.998789
"978",1,74,0,24,355.2,33,"No","M",0,2682.912454
"979",1,104,45281,13,65.03063,84,"No","F",1,4139.533158
"980",2,66,0,14,470.691875,73,"No","F",1,6829.413399
"981",1,80,0,3,962.526106,99,"No","F",1,2840.899849
"982",5,113,0,35,1258.327804,83,"No","M",0,7901.744238
"983",4,223,80991,5,937.327881,56,"No","F",0,17995.86532
"984",8,108,76763,12,186.459607,87,"No","M",0,8595.726399
"985",2,131,50461,22,810.06514,89,"No","F",0,15626.28021
"986",1,116,95550,15,381.570261,75,"No","M",1,4595.524548
"987",6,87,24432,19,71.10847,44,"No","F",3,6680.146801
"988",2,110,12607,13,528,20,"No","M",0,12516.92188
"989",2,65,0,1,360.480689,30,"No","M",0,6707.994148
"990",3,65,51071,17,312,94,"No","M",0,5148.653203
"991",1,118,69921,28,373.227044,22,"No","F",2,4670.058282
"992",1,61,14660,14,396.608751,97,"No","M",0,2319.818549
"993",2,62,37256,15,128.969729,7,"Yes","M",0,9816.528302
"994",1,134,0,13,643.2,56,"No","F",0,5124.984391
"995",1,93,71333,9,343.755209,92,"No","F",0,3721.057118
"996",3,124,33157,28,286.003968,58,"No","F",0,9988.787618
"997",1,91,0,8,436.8,60,"No","F",0,3342.177957
"998",2,119,11432,11,571.2,9,"Yes","F",0,13466.92071
"999",1,73,78596,11,106.267659,0,"No","F",0,2949.282616
"1000",1,63,19864,22,352.394515,96,"Yes","F",0,2359.423599
"1001",2,72,27961,15,345.6,64,"No","M",0,25581.61014
"1002",1,69,92296,4,331.2,65,"Yes","M",0,2759.978287
"1003",7,178,74871,0,854.4,15,"No","F",0,14517.43681
"1004",3,64,0,32,307.2,89,"No","M",1,4526.126785
"1005",2,91,26410,17,184.516188,90,"No","F",0,26199.5401416
"1006",7,69,85704,21,325.395532,84,"No","M",0,5573.10605
"1007",2,80,33599,23,111.265486,31,"No","F",0,9388.981905
"1008",2,74,48448,24,355.2,11,"No","M",1,20230.9675
"1009",3,198,95340,5,808.844338,84,"No","M",2,15531.78589
"1010",2,121,48245,16,580.8,21,"No","F",3,13995.68999
"1011",3,67,0,11,482.4,87,"No","M",0,4660.006868
"1012",2,99,0,26,475.2,60,"No","F",0,11131.56637
"1013",2,80,62421,22,384,50,"No","F",2,9536.338382
"1014",1,96,40513,21,151.589577,37,"No","F",1,3801.282266
"1015",2,105,40870,3,504,56,"Yes","M",0,12731.95161
"1016",1,73,79681,4,9.160139,93,"No","F",1,2872.669164
"1017",1,95,93272,3,281.110788,54,"Yes","F",0,3861.486269
"1018",1,138,54507,20,702.990032,11,"Yes","F",0,5470.060561
"1019",3,70,31972,4,416.2618,89,"No","F",0,5580.916514
"1020",9,131,0,34,628.8,61,"Yes","M",0,9657.579498
"1021",1,105,17220,10,504,24,"No","M",0,3985.319833
"1022",2,124,0,2,928.817071,85,"No","M",0,17253.72944
"1023",1,65,75615,16,156.54837,39,"No","F",5,2483.67134
"1024",1,93,0,29,669.6,63,"No","M",0,3261.01744
"1025",1,70,30916,6,21.143072,50,"No","F",0,2734.328157
"1026",1,106,0,24,508.8,27,"No","M",0,3748.14406
"1027",2,74,26057,3,523.888845,63,"Yes","M",0,8509.850887
"1028",3,71,29981,4,340.8,9,"No","F",0,5421.04863
"1029",1,215,46503,4,1032,21,"Yes","F",1,8427.172486
"1030",1,63,25905,21,302.4,12,"Yes","M",0,2300.691547
"1031",8,72,11343,14,154.750098,78,"No","M",0,5507.242176
"1032",3,62,24395,35,357.109603,99,"No","F",0,4792.810444
"1033",2,104,27739,16,3.200851,22,"No","F",0,12663.59666
"1034",3,68,24368,34,326.4,54,"No","M",1,4992.920887
"1035",1,128,50994,16,346.387342,48,"No","M",0,5131.360525
"1036",2,63,48381,2,302.4,71,"No","F",0,7564.611951
"1037",7,152,0,8,1082.814636,94,"No","F",0,11631.87866
"1038",1,63,24910,7,347.857619,63,"Yes","F",1,2248.449633
"1039",7,112,20215,10,537.6,8,"No","M",0,8417.159538
"1040",3,72,86824,1,189.096179,76,"No","F",0,5817.832355
"1041",1,63,0,33,327.685301,34,"No","M",0,2305.056048
"1042",2,76,52436,3,109.476994,38,"No","F",0,11960.47577
"1043",3,207,19132,25,1008.569798,15,"No","M",0,15063.50118
"1044",9,131,0,34,628.8,61,"Yes","M",0,9657.579498
"1045",7,68,80550,16,265.516965,67,"No","F",3,5392.502531
"1046",1,89,51950,34,429.171384,90,"No","F",0,3574.990725
"1047",2,132,0,20,950.4,22,"No","M",0,13283.86446
"1048",2,68,0,8,326.4,72,"No","M",0,6893.171997
"1049",3,68,68815,29,114.743385,37,"No","F",0,5447.201066
"1050",1,65,25965,23,329.206567,27,"Yes","F",0,2491.257604
"1051",6,86,18577,21,412.8,76,"Yes","F",0,6273.911874
"1052",3,61,20355,4,439.2,6,"No","M",1,4717.62873
"1053",2,68,0,19,326.4,2,"Yes","F",3,13197.92893
"1054",8,110,99845,23,528,25,"Yes","M",1,8819.018934
"1055",3,101,0,31,1021.719397,1,"No","M",0,6857.519928
"1056",8,76,26876,17,364.8,72,"Yes","M",0,6005.214792
"1057",1,108,27608,30,308.953614,89,"No","F",0,4250.775183
"1058",9,103,0,13,741.6,20,"No","M",0,6729.867925
"1059",9,105,98677,3,108.025547,40,"No","M",0,8531.401125
"1060",2,72,46379,11,345.6,57,"No","F",0,8618.295865
"1061",3,81,25125,12,583.2,91,"No","F",1,5970.816921
"1062",2,62,27984,7,445.361629,51,"No","M",1,7275.921106
"1063",2,68,52009,20,250.416569,29,"No","M",0,8010.968982
"1064",1,69,23504,19,374.399828,56,"No","F",0,2514.428561
"1065",9,71,0,16,569.761582,90,"No","M",3,4112.625047
"1066",2,88,72540,7,631.743039,3,"Yes","F",0,10656.88195
"1067",1,72,35654,17,515.122954,19,"No","F",0,2885.742441
"1068",9,107,30344,29,342.832065,79,"No","M",0,8341.929905
"1069",7,115,70958,1,115.400119,57,"No","M",0,9212.613275
"1070",6,103,0,29,741.6,91,"No","F",0,7017.145586
"1071",2,93,56263,27,446.4,31,"No","M",0,14718.11779
"1072",5,64,0,25,307.2,33,"No","M",0,4466.101762
"1073",2,65,0,9,312,31,"Yes","M",0,21423.63723
"1074",8,106,40994,8,60.227339,94,"No","M",0,8378.357502
"1075",2,63,30969,26,358.225234,79,"No","M",1,7334.915821
"1076",5,93,70263,30,7.345946,66,"Yes","F",0,7462.926263
"1077",1,96,35056,12,460.8,52,"No","M",3,3635.028312
"1078",4,69,73435,9,331.2,25,"No","M",0,5525.836623
"1079",2,94,29695,34,554.143798,66,"No","M",0,14700.49784
"1080",3,61,88043,2,188.717606,43,"No","F",0,4905.127076
"1081",2,77,0,25,12.603783,48,"No","M",0,8478.824155
"1082",6,131,37518,35,472.850932,91,"No","F",0,10529.84867
"1083",2,108,85537,4,285.276083,91,"No","F",0,26199.5401416
"1084",6,64,97131,5,307.2,80,"Yes","F",0,5181.620895
"1085",7,84,0,6,403.2,93,"No","M",0,6172.392406
"1086",3,76,57693,16,547.2,56,"Yes","F",0,5979.724161
"1087",6,111,0,3,532.8,73,"No","F",3,6941.872931
"1088",2,113,17101,1,542.4,88,"Yes","M",0,12298.6863
"1089",2,61,44788,6,386.031248,48,"Yes","M",0,7285.030983
"1090",2,66,72353,27,316.8,15,"No","M",0,7812.889738
"1091",5,68,74606,2,109.112713,34,"No","M",0,5334.784887
"1092",2,70,44524,28,200.768848,42,"No","M",0,11044.10847
"1093",2,82,22711,8,393.6,74,"No","M",0,25805.26839
"1094",2,86,0,19,412.8,99,"No","M",1,9006.598402
"1095",3,114,0,11,1310.46158,20,"No","M",0,8150.573759
"1096",6,95,96306,12,185.355353,17,"Yes","M",1,7519.133631
"1097",2,64,22249,4,455.191595,88,"No","F",0,17041.4383
"1098",3,62,0,6,382.067564,62,"No","F",0,4398.047053
"1099",7,184,20754,19,1324.8,15,"No","M",0,13258.17973
"1100",4,93,0,7,669.6,85,"No","M",0,6439.330195
"1101",1,65,0,16,468,90,"No","F",0,2417.763236
"1102",5,68,74561,0,234.393625,23,"No","F",1,5427.484591
"1103",1,71,0,4,17.029835,18,"No","F",0,2601.351096
"1104",4,109,76352,17,501.83778,9,"No","F",2,8444.840217
"1105",1,105,19794,1,504,78,"No","M",0,3794.964613
"1106",1,64,92401,30,50.359627,37,"No","M",0,2537.383207
"1107",6,109,0,10,898.430079,20,"No","M",0,8026.04923
"1108",6,97,83000,29,378.5566,76,"No","F",1,7786.676381
"1109",3,72,29120,31,345.6,77,"No","M",0,5556.91458
"1110",7,146,92931,6,503.144025,38,"No","F",0,11830.95192
"1111",1,112,70088,0,536.481665,33,"No","M",0,4462.445111
"1112",1,63,25558,31,453.6,11,"No","M",0,2515.259002
"1113",4,155,36328,6,388.148089,21,"No","F",0,12282.84085
"1114",4,112,53173,30,1169.409787,57,"No","F",0,8736.501241
"1115",2,64,99583,35,99.674341,85,"No","M",0,12743.35175
"1116",2,73,24410,5,350.4,51,"No","F",0,25107.09812
"1117",2,118,68956,12,118.538444,8,"No","F",2,13432.00289
"1118",1,62,22239,34,297.6,85,"No","M",0,2404.633766
"1119",7,119,52494,5,571.2,69,"No","F",0,9275.681452
"1120",2,89,0,35,538.689882,22,"No","M",0,24258.71383
"1121",1,117,53252,1,561.6,76,"No","M",0,4668.043154
"1122",5,137,24164,2,657.6,40,"Yes","M",0,10972.06778
"1123",2,113,18495,10,542.4,15,"Yes","F",0,26197.41498
"1124",3,80,42314,23,56.39419,78,"No","M",0,6282.079645
"1125",1,139,0,5,1000.8,29,"No","F",0,4896.261605
"1126",9,116,28280,7,556.8,55,"No","M",0,8759.592518
"1127",2,70,44656,2,336,80,"No","M",0,8270.625331
"1128",9,114,18017,23,547.2,54,"No","F",0,8583.272854
"1129",6,91,63741,25,36.980596,15,"No","M",0,7185.673718
"1130",4,72,22679,25,345.6,32,"No","F",0,5570.17755
"1131",9,102,20757,6,216.4268,74,"No","M",3,7325.917302
"1132",2,192,0,35,921.6,34,"No","M",0,19964.39708
"1133",2,104,60455,20,499.2,25,"No","F",0,26199.5401416
"1134",1,72,45128,13,66.667784,34,"No","F",0,2906.893312
"1135",3,137,90874,18,459.785009,28,"No","M",4,10628.06415
"1136",2,112,50800,1,621.218119,45,"No","F",0,13369.44267
"1137",8,126,0,16,604.8,69,"No","M",0,8937.118615
"1138",1,63,25905,21,302.4,12,"Yes","M",0,2300.691547
"1139",1,116,0,18,835.2,86,"No","F",0,4078.023331
"1140",1,110,58577,6,303.872752,62,"Yes","F",0,4428.031583
"1141",5,229,91268,32,737.737825,62,"No","M",0,18504.2801
"1142",5,134,62053,3,614.03209,89,"No","F",0,10827.87278
"1143",4,73,30389,34,278.932051,66,"No","F",0,5745.121547
"1144",9,63,22571,29,302.4,51,"Yes","F",0,4605.036646
"1145",1,74,80681,31,355.2,12,"No","F",0,3008.099115
"1146",1,74,89410,11,95.997363,50,"No","M",0,2945.998877
"1147",1,127,52728,34,609.6,34,"No","M",1,4863.470811
"1148",3,61,43199,23,334.007478,31,"No","F",0,4892.617128
"1149",1,83,43510,8,238.088581,75,"No","F",0,3337.59441
"1150",8,66,28909,15,456.702735,66,"Yes","F",0,5246.278375
"1151",6,123,84429,11,115.07234,2,"No","M",0,9802.548509
"1152",1,96,17162,15,460.8,29,"No","F",0,3716.479655
"1153",1,104,10853,11,350.306385,18,"No","M",0,3896.572719
"1154",1,88,0,29,422.4,19,"No","M",0,3054.541283
"1155",1,99,60021,12,882.871945,28,"Yes","F",0,3939.00637
"1156",7,73,0,17,496.474767,44,"Yes","M",0,5325.724541
"1157",5,68,0,0,546.420009,93,"No","F",3,4420.248983
"1158",2,64,96961,24,81.377259,99,"No","F",0,7743.918426
"1159",1,180,35173,24,415.331869,9,"No","M",2,7092.635635
"1160",7,69,64816,30,331.2,33,"No","F",0,5525.470004
"1161",5,74,36685,15,355.2,25,"No","F",0,5923.208
"1162",2,125,77143,5,176.006384,49,"No","F",3,26199.5401416
"1163",2,66,0,4,316.8,6,"No","M",2,6393.874612
"1164",1,140,0,15,672,87,"No","M",0,4836.394361
"1165",2,69,66825,11,70.031111,47,"No","M",0,24967.75842
"1166",2,96,42596,8,42.293622,82,"No","M",0,11124.20636
"1167",5,70,0,3,646.785442,35,"No","M",0,4863.266809
"1168",1,64,41372,21,307.2,32,"No","M",0,2519.569496
"1169",8,63,26660,23,453.6,40,"No","F",0,4892.422239
"1170",9,107,95697,29,178.006524,29,"Yes","M",0,8564.768226
"1171",1,95,93272,3,281.110788,54,"Yes","F",0,3861.486269
"1172",2,67,0,20,321.6,14,"No","M",0,6980.325287
"1173",7,97,0,31,698.4,43,"No","F",0,6769.324811
"1174",3,64,19096,17,374.8996,5,"No","F",0,4883.551402
"1175",8,112,73876,19,419.303041,71,"No","F",0,9061.057741
"1176",2,100,20742,17,455.851876,52,"No","M",0,11177.7521
"1177",2,64,52993,16,304.699889,86,"No","F",0,22940.38215
"1178",2,67,82828,14,217.472776,36,"No","F",1,8016.747629
"1179",9,104,64367,2,96.431061,14,"No","F",0,8317.302513
"1180",4,96,47519,21,245.248248,2,"No","M",0,7601.951104
"1181",1,61,50876,13,171.248196,60,"No","F",0,2439.930981
"1182",1,69,22567,6,496.8,12,"No","M",0,2309.596399
"1183",1,77,22608,5,369.6,10,"No","M",0,2961.31408
"1184",3,69,0,9,331.2,72,"No","M",5,3341.6835
"1185",1,89,26884,11,238.132215,84,"No","F",0,3531.039178
"1186",7,83,34498,30,398.4,72,"Yes","M",0,6369.262355
"1187",2,108,73060,9,518.4,78,"No","M",0,13083.48622
"1188",3,73,0,28,350.4,8,"No","M",0,5075.420953
"1189",6,180,0,4,1474.267145,45,"No","F",0,13061.51639
"1190",4,76,61139,4,364.8,16,"No","M",0,6126.568309
"1191",1,68,26744,16,326.4,61,"No","F",0,2694.599099
"1192",3,132,0,17,950.4,34,"No","F",0,9338.08481
"1193",1,64,88126,27,151.973156,71,"No","M",1,2551.349248
"1194",3,115,37970,8,124.967415,44,"No","M",0,9061.767848
"1195",1,89,65773,24,245.308491,35,"No","F",4,3452.414955
"1196",4,69,0,1,232.183503,25,"No","M",0,4481.387593
"1197",2,86,0,29,568.746405,45,"No","M",0,21235.44557
"1198",1,94,41479,14,19.575683,38,"Yes","F",1,3746.751625
"1199",1,126,72433,34,343.139611,48,"No","M",0,5129.608404
"1200",4,89,15871,20,427.2,19,"No","M",0,6838.767672
"1201",8,72,24882,13,345.6,20,"No","M",0,5712.380598
"1202",3,63,0,23,523.337427,88,"No","F",0,4745.680421
"1203",7,73,83308,3,419.471438,81,"No","M",1,5837.528088
"1204",3,82,46750,20,672.026958,74,"No","M",1,6444.076976
"1205",9,91,39786,2,365.835977,91,"No","F",1,7255.577594
"1206",5,117,55542,1,310.651386,76,"No","F",0,9206.429641
"1207",2,66,58466,7,316.8,79,"No","M",1,23187.14574
"1208",1,74,56502,15,355.2,78,"No","F",0,2955.495724
"1209",3,105,0,33,504,7,"No","F",0,7799.440458
"1210",5,76,70892,21,206.709951,32,"No","M",0,6089.77238
"1211",8,104,21726,20,697.010998,79,"No","M",0,7860.086842
"1212",1,87,29160,25,417.6,62,"No","F",0,3351.567048
"1213",1,188,0,5,1621.560425,67,"No","M",0,6423.739052
"1214",3,76,0,28,38.792481,55,"No","F",5,4739.297046
"1215",1,93,37202,30,322.528829,86,"No","F",0,3691.765242
"1216",9,129,80192,8,200.662297,69,"No","F",0,10419.16743
"1217",1,105,35945,14,756,25,"No","M",0,4139.89767
"1218",5,190,99159,7,912,14,"No","F",0,15506.9278
"1219",3,97,37386,1,465.6,4,"No","F",0,7731.713059
"1220",9,161,0,19,1159.2,71,"No","F",0,11158.12643
"1221",1,100,92539,1,25.713622,55,"No","M",0,3940.123576
"1222",1,70,0,24,425.266308,10,"Yes","M",0,2393.915369
"1223",1,114,0,0,1343.619461,75,"No","F",0,4272.80504
"1224",2,79,0,14,379.2,22,"No","F",0,20186.34693
"1225",8,66,28909,15,456.702735,66,"Yes","F",0,5246.278375
"1226",3,123,0,35,1088.38378,38,"No","M",1,8827.229838
"1227",2,68,38008,12,321.789644,40,"No","M",4,7553.936525
"1228",1,71,13424,30,340.8,78,"No","F",0,2611.14858
"1229",2,63,26806,32,302.4,19,"Yes","M",0,7019.177186
"1230",3,191,0,27,1375.2,49,"No","M",0,12944.18562
"1231",7,115,97729,4,221.047584,48,"No","M",1,9277.472901
"1232",1,104,48263,2,674.863718,32,"No","F",0,4142.561212
"1233",1,65,35795,25,312,53,"No","M",0,2581.022016
"1234",1,63,0,13,732.638975,48,"No","F",0,2302.818965
"1235",1,61,32764,30,292.953446,23,"No","F",0,2452.726922
"1236",7,114,53503,3,547.2,43,"No","F",0,8873.525122
"1237",1,65,0,34,149.241472,84,"No","F",0,2436.839358
"1238",1,64,52980,33,191.945693,93,"No","M",0,2549.080421
"1239",1,94,68727,19,386.520235,76,"No","F",0,3776.665506
"1240",2,67,71391,29,284.000172,39,"Yes","M",0,8044.872393
"1241",1,104,28506,27,499.2,37,"No","M",0,4089.429492
"1242",2,102,33345,34,694.078608,37,"No","M",0,12105.29422
"1243",8,68,67414,7,148.778455,37,"No","F",0,5424.256733
"1244",1,97,66676,0,558.099357,40,"Yes","F",0,3919.366722
"1245",3,73,75952,5,350.4,17,"No","M",0,5866.068903
"1246",6,66,40818,6,316.8,3,"No","M",0,5267.848664
"1247",5,116,37937,11,556.8,42,"Yes","M",0,9095.049868
"1248",1,95,0,12,684,5,"No","M",0,3486.699561
"1249",1,86,99816,0,172.913031,0,"No","M",0,3423.822189
"1250",1,110,0,7,1265.387328,70,"No","M",0,3651.69247
"1251",9,72,0,18,345.6,91,"No","F",0,5205.90965
"1252",2,122,22854,28,878.4,53,"No","M",0,26199.5401416
"1253",9,107,55217,9,696.115596,9,"No","F",2,8476.80656
"1254",1,80,43499,8,529.490007,44,"No","M",0,3141.252909
"1255",1,138,23339,8,666.307195,31,"No","F",0,5437.908293
"1256",2,71,31739,10,469.882367,29,"No","M",0,14019.83314
"1257",1,103,0,25,685.227276,16,"No","F",1,3771.617797
"1258",1,71,39161,8,340.8,84,"No","F",3,2725.680297
"1259",3,111,12843,6,1143.494486,47,"No","F",0,8502.237137
"1260",2,105,39007,29,1023.844984,16,"No","M",0,12521.42105
"1261",2,65,46182,23,2.574682,27,"No","F",0,7777.201669
"1262",7,74,11920,20,355.2,27,"No","F",0,5601.68063
"1263",1,93,31349,10,446.4,32,"No","M",0,3677.907634
"1264",2,71,92766,17,379.029102,15,"Yes","F",0,20096.89337
"1265",1,107,0,15,513.6,58,"No","F",1,3858.867206
"1266",5,92,24726,18,150.693773,75,"No","M",1,7025.04419
"1267",5,186,58452,7,892.8,13,"No","M",0,14439.80313
"1268",1,65,0,11,111.872115,69,"No","M",0,2217.664193
"1269",1,71,90083,23,181.689191,47,"No","F",0,2861.717418
"1270",2,61,90551,28,374.527412,4,"No","F",4,7072.928971
"1271",5,67,0,16,321.6,45,"No","F",0,4787.206586
"1272",2,105,80321,25,166.972451,1,"No","M",0,26199.5401416
"1273",9,182,55593,10,677.63589,48,"No","M",1,14203.04178
"1274",1,165,0,27,1853.202354,38,"No","F",0,5745.41663
"1275",1,67,81605,7,424.219182,74,"No","F",0,2725.192659
"1276",8,137,21839,2,657.6,70,"No","M",0,10302.90289
"1277",1,98,20978,19,1176.2788,96,"Yes","M",1,3508.569533
"1278",3,71,83392,30,125.961938,80,"No","F",0,5761.317533
"1279",3,128,73661,34,404.329477,47,"No","F",0,10280.80787
"1280",2,139,0,2,667.2,33,"No","F",1,14741.76092
"1281",2,67,66685,35,38.763897,50,"No","F",2,7995.441263
"1282",1,117,0,2,842.4,41,"No","F",0,4031.539471
"1283",1,94,41479,14,19.575683,38,"Yes","F",1,3746.751625
"1284",1,64,75740,13,128.516525,11,"No","M",0,2552.038766
"1285",2,92,55994,19,441.6,75,"No","M",2,10714.21449
"1286",4,100,0,17,648.364172,21,"No","M",2,6328.180924
"1287",7,64,23840,32,307.2,66,"No","F",0,5070.352408
"1288",8,72,54834,23,186.191931,13,"No","F",0,5647.145809
"1289",2,72,58092,7,202.24202,56,"No","M",1,14031.70314
"1290",4,109,83365,27,523.2,7,"No","M",1,8656.396659
"1291",8,69,12153,23,438.155584,9,"No","M",1,4861.493017
"1292",2,92,0,3,441.6,7,"No","F",0,17349.03226
"1293",1,62,77993,26,297.6,10,"No","F",0,2481.842224
"1294",2,95,0,1,579.452318,69,"No","M",0,10377.36842
"1295",3,115,75986,11,89.119797,44,"No","M",0,9312.585034
"1296",3,64,43640,10,1.208908,99,"No","M",2,4921.325084
"1297",9,125,0,22,900,80,"No","M",0,8923.113112
"1298",2,105,44341,15,355.114822,56,"No","F",0,12522.53868
"1299",1,84,93489,16,104.280764,72,"No","F",0,3372.420457
"1300",2,94,73359,17,107.187926,24,"No","M",0,26199.5401416
"1301",9,183,41433,24,1317.6,40,"No","M",0,14510.44376
"1302",7,66,68931,32,309.577946,30,"Yes","F",0,5332.462694
"1303",6,104,0,24,748.8,49,"No","M",0,6875.606133
"1304",2,68,91354,30,361.646987,26,"No","F",0,16484.01644
"1305",2,61,0,21,370.755025,24,"No","F",0,13786.70272
"1306",7,119,10211,7,571.2,16,"No","F",0,9052.951051
